"104733","01015004540302705103","1","40"
"104734","01015004540302707103","4","60"
"104735","01015004620303104102","4","90"
"104736","01015004690302801101","4","20"
"104737","01015004690302802101","4","10"
"104738","01015004690302804101","4","25"
"104739","01015004720202601102","4","20"
"104740","01015004720202603102","4","20"
"104741","01015004720202605102","4","120"
"104742","01015004720202607102","4","80"
"104743","01015004740302907101","4","15"
"104744","01015004740302908101","1","20"
"104745","01015004740302909101","4","10"
"104746","01015004750103701101","4","60"
"104747","01015004750103704101","3","25"
"104748","01015004750103705101","3","30"
"104749","01015004750103709101","4","15"
"104750","01015004780202802101","4","30"
"104751","01015004780202804101","4","50"
"104752","01015004780202805101","4","30"
"104753","01015004780202805201","4","40"
"104754","01015004780202807101","4","30"
"104755","01015004800103104102","4","200"
"104756","01015004800103106102","4","30"
"104757","01015004810202701103","4","150"
"104758","01015004810202702103","4","60"
"104759","01015004810202703103","4","90"
"104760","01015004810202704103","4","10"
"104761","01015004810202707103","3","25"
"104762","01015004870103101102","4","50"
"104763","01015004870103103102","4","200"
"104764","01015004870103104102","4","70"
"104765","01015004900104101102","4","30"
"104766","01015004900104103102","4","40"
"104767","01015004900104106102","4","50"
"104768","01015004970103101102","4","80"
"104769","01015004970103102102","4","125"
"104770","01015004970103105102","4","20"
"104771","01015004970103107102","4","30"
"104772","01015005050303403103","4","100"
"104773","01015005050303404103","4","50"
"104774","01015005050303406103","4","80"
"104775","01015005110204102102","4","50"
"104776","01015005110204105102","4","24"
"104777","01015005110204107102","4","60"
"104778","01015005110204108102","4","30"
"104779","01015005140102701103","4","100"
"104780","01015005140102702103","4","40"
"104781","01015005140102703103","4","100"
"104782","01015005140102704103","4","60"
"104783","01015005140102705103","4","150"
"104784","01015005140102706103","4","130"
"104785","01015005140102707103","4","80"
"104786","01015005150303501103","4","20"
"104787","01015005150303502103","4","80"
"104788","01015005150303504103","4","60"
"104789","01015005150303505103","4","30"
"104790","01015005150303506103","4","40"
"104791","01015005150303507103","3","40"
"104792","01015005160202801101","4","25"
"104793","01015005160202805101","4","15"
"104794","01015005160202806101","4","40"
"104795","01015005170102902101","4","15"
"104796","01015005170102907101","4","25"
"104797","01015005170102909101","4","10"
"104798","01015005190202802101","4","60"
"104799","01015005190202805101","4","150"
"104800","01015005190202806101","4","80"
"104801","01015005190202807101","4","100"
"104802","01015005230103502103","4","60"
"104803","01015005230103507103","4","80"
"104804","01015005230103508103","4","80"
"104805","01015005230202603102","4","90"
"104806","01015005280204103102","4","80"
"104807","01015005280204106102","4","40"
"104808","01015005280204109102","1","90"
"104809","01015005280204110102","4","80"
"104810","01015005290303101102","4","40"
"104811","01015005290303102102","4","30"
"104812","01015005290303103102","4","100"
"104813","01015005290303105102","4","60"
"104814","01015005290303107102","4","40"
"104815","01015005340103502103","4","60"
"104816","01015005340103503103","4","60"
"104817","01015005340103504103","4","60"
"104818","01015005350103101102","4","70"
"104819","01015005350103102102","4","40"
"104820","01015005350103103102","4","50"
"104821","01015005350103104102","4","40"
"104822","01015005350103105102","4","120"
"104823","01015005350103106102","4","75"
"104824","01015005350103107102","4","50"
"104825","01015005380202903101","4","20"
"104826","01015005380202905101","4","10"
"104827","01015005380202907101","4","20"
"104828","01015005410203701101","1","20"
"104829","01015005410203702101","4","60"
"104830","01015005410203704101","4","100"
"104831","01015005410203705101","4","100"
"104832","01015005410203706101","1","100"
"104833","01015005410203707101","3","40"
"104834","01015005440104202103","4","30"
"104835","01015005440104203103","4","10"
"104836","01015005440104206103","4","60"
"104837","01015005440104208103","4","60"
"104838","01015005460203101102","4","15"
"104839","01015005460203105102","4","20"
"104840","01015005490102904101","4","120"
"104841","01015005530303202102","4","50"
"104842","01015005530303204102","1","70"
"104843","01015005590102801101","4","50"
"104844","01015005590102802101","1","20"
"104845","01015005590102803101","4","140"
"104846","01015005590102804101","4","60"
"104847","01015005590102805101","4","20"
"104848","01015005590102806101","4","80"
"104849","01015005650102601102","3","60"
"104850","01015005650102603102","4","40"
"104851","01015005650102604102","4","100"
"104852","01015005650102605102","4","60"
"104853","01015005650102607102","4","40"
"104854","01015005650203702101","4","70"
"104855","01015005650203704101","4","40"
"104856","01015005650203706101","4","80"
"104857","01015005670304201103","4","30"
"104858","01015005670304202103","4","30"
"104859","01015005670304203103","4","30"
"104860","01015005670304206103","4","25"
"104861","01015005700203501103","4","50"
"104862","01015005700203502103","4","60"
"104863","01015005700203504103","4","30"
"104864","01015005700203505103","4","40"
"104865","01015005700203507103","4","50"
"104866","01015005730202901101","4","50"
"104867","01015005730202902101","4","30"
"104868","01015005730202904101","4","80"
"104869","01015005730202905101","4","40"
"104870","01015005730202906101","1","60"
"104871","01015005730202907101","2","100"
"104872","01015005750202501101","4","20"
"104873","01015005750202502101","4","10"
"104874","01015005750202503101","4","40"
"104875","01015005750202504101","2","25"
"104876","01015005750202505101","4","35"
"104877","01015005750202506101","4","60"
"104878","01015005750202507101","4","20"
"104879","01015005760204205103","4","60"
"104880","01015005760204207103","4","20"
"104881","01015005790203501103","4","20"
"104882","01015005790203502103","4","35"
"104883","01015005790203503103","4","35"
"104884","01015005790203504103","4","30"
"104885","01015005790203506103","4","25"
"104886","01015005790203507103","4","25"
"104887","01015005830204103102","4","8"
"104888","01015005830204107102","4","12"
"104889","01015005860302504101","4","80"
"104890","01015005860302505101","4","40"
"104891","01015005860302507101","4","60"
"104892","01015005870304201103","4","60"
"104893","01015005870304205103","4","80"
"104894","01015005890303501103","4","20"
"104895","01015005890303502103","4","100"
"104896","01015005890303505103","4","60"
"104897","01015005890303506103","4","20"
"104898","01015005890303507103","4","160"
"104899","01015005950202503101","4","80"
"104900","01015005950202504101","4","10"
"104901","01015005950202506101","4","80"
"104902","01015005990202603102","4","10"
"104903","01015006000403102102","4","60"
"104904","01015006000403103102","3","40"
"104905","01015006000403104102","4","40"
"104906","01015006000403106102","1","60"
"104907","01015006040104101102","4","100"
"104908","01015006040104106102","4","80"
"104909","01015006040104109102","4","50"
"104910","01015006040104110102","4","150"
"104911","01015006050102904101","2","60"
"104912","01015006050102905101","3","60"
"104913","01015006050102908101","2","80"
"104914","01015006050102909101","4","100"
"104915","01015006100202702103","4","20"
"104916","01015006100202704103","3","25"
"104917","01015006100202705103","4","60"
"104918","01015006100202706103","4","80"
"104919","01015006100202707103","4","60"
"104920","01015006100202708103","4","50"
"104921","01015006110302601102","4","100"
"104922","01015006110302605102","4","100"
"104923","01015006140102704103","4","50"
"104924","01015006140102705103","4","50"
"104925","01015006140102706103","4","80"
"104926","01015006150302903101","1","40"
"104927","01015006150302906101","4","60"
"104928","01015006150302907101","4","40"
"104929","01015006150302908101","4","10"
"104930","01015006150302909101","4","30"
"104931","01015006170203101102","4","50"
"104932","01015006170203104102","2","3"
"104933","01015006170203106102","4","28"
"104934","01015006170203107102","4","40"
"104935","01015006190402503101","4","60"
"104936","01015006200204203103","4","35"
"104937","01015006200204204103","4","25"
"104938","01015006200204205103","4","50"
"104939","01015006200204206103","4","30"
"104940","01015006200204207103","4","25"
"104941","01015006200204208103","4","70"
"104942","01015006230202801101","4","80"
"104943","01015006230202806101","4","90"
"104944","01015006250202501101","4","80"
"104945","01015006250202504101","4","90"
"104946","01015006250202507101","4","60"
"104947","01015006300103501103","4","50"
"104948","01015006300103502103","4","50"
"104949","01015006300103503103","4","75"
"104950","01015006300103504103","4","60"
"104951","01015006300302701103","4","80"
"104952","01015006300302706103","4","50"
"104953","01015006300302707103","4","80"
"104954","01015006310302801101","4","30"
"104955","01015006310302802101","3","60"
"104956","01015006310302803101","3","40"
"104957","01015006320203101102","4","40"
"104958","01015006320203103102","4","30"
"104959","01015006320203104102","4","50"
"104960","01015006320203107102","4","60"
"104961","01015006350302601102","4","45"
"104962","01015006350302603102","4","60"
"104963","01015006350302604102","4","40"
"104964","01015006350302606102","4","30"
"104965","01015006350302607102","4","60"
"104966","01015006360203502103","4","60"
"104967","01015006360203504203","4","48"
"104968","01015006360203505103","4","60"
"104969","01015006360203506103","4","60"
"104970","01015006460102801101","4","80"
"104971","01015006460102803101","4","90"
"104972","01015006460102805101","4","60"
"104973","01015006470102602102","4","60"
"104974","01015006470102604102","4","40"
